teamA,teamB,week,season
"Everton","Sunderland",15,1970-01-01T00:00:02.014Z
"Hull City","Burnley",15,1970-01-01T00:00:02.014Z
"Leicester City","Southampton",15,1970-01-01T00:00:02.014Z
"Manchester City","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Newcastle United","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Stoke City","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Burnley","Stoke City",15,1970-01-01T00:00:02.014Z
"Liverpool","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Manchester United","Arsenal",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Newcastle United",15,1970-01-01T00:00:02.014Z
"Southampton","Aston Villa",15,1970-01-01T00:00:02.014Z
"Sunderland","Leicester City",15,1970-01-01T00:00:02.014Z
"Swansea City","Manchester City",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Hull City",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Chelsea",15,1970-01-01T00:00:02.014Z
"West Ham United","Everton",15,1970-01-01T00:00:02.014Z
"Arsenal","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Aston Villa","Burnley",15,1970-01-01T00:00:02.014Z
"Chelsea","Sunderland",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Swansea City",15,1970-01-01T00:00:02.014Z
"Everton","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Hull City","Manchester United",15,1970-01-01T00:00:02.014Z
"Leicester City","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Manchester City","Southampton",15,1970-01-01T00:00:02.014Z
"Newcastle United","West Ham United",15,1970-01-01T00:00:02.014Z
"Stoke City","Liverpool",15,1970-01-01T00:00:02.014Z
